keyword,locale,tool_name,target_market,exported_at,source_file,source_sheet,source_row,matched_seed,product_evidence,relevance_score,intent_risk,recommendation,semantic_status,semantic_reason,average_monthly_searches,competition,competition_index,three_month_change,year_over_year_change,raw_metrics
digital signage software android,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,11,android digital signage,PF-001;PF-003,100,,REVIEW_RELEVANT,PENDING_REVIEW,,500,中,64,0%,-90%,"{""Avg. monthly searches"": ""500"", ""Competition"": ""中"", ""Competition (indexed value)"": ""64"", ""Top of page bid (high range)"": ""187.16"", ""Top of page bid (low range)"": ""19.91""}"
play digital signage,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,16,digital signage player,PF-002;PF-003,100,,REVIEW_RELEVANT,PENDING_REVIEW,,500,中,52,0%,0%,"{""Avg. monthly searches"": ""500"", ""Competition"": ""中"", ""Competition (indexed value)"": ""52"", ""Top of page bid (high range)"": ""158.12"", ""Top of page bid (low range)"": ""22.13""}"
play signage,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,15,digital signage player,PF-002;PF-003,100,,REVIEW_RELEVANT,PENDING_REVIEW,,500,中,55,0%,0%,"{""Avg. monthly searches"": ""500"", ""Competition"": ""中"", ""Competition (indexed value)"": ""55"", ""Top of page bid (high range)"": ""60.28"", ""Top of page bid (low range)"": ""3.33""}"
signage player,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,8,digital signage player,PF-002;PF-003,100,,REVIEW_RELEVANT,PENDING_REVIEW,,500,中,51,0%,0%,"{""Avg. monthly searches"": ""500"", ""Competition"": ""中"", ""Competition (indexed value)"": ""51"", ""Top of page bid (high range)"": ""172.72"", ""Top of page bid (low range)"": ""31.47""}"
android based digital signage,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,86,android digital signage,PF-001;PF-003,100,,REVIEW_RELEVANT,PENDING_REVIEW,,50,低,0,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""低"", ""Competition (indexed value)"": ""0""}"
android box for digital signage,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,92,android digital signage,PF-001;PF-003,100,,REVIEW_RELEVANT,PENDING_REVIEW,,50,高,100,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""高"", ""Competition (indexed value)"": ""100""}"
android digital signage app,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,38,android digital signage,PF-001;PF-003,100,,REVIEW_RELEVANT,PENDING_REVIEW,,50,低,22,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""低"", ""Competition (indexed value)"": ""22""}"
android digital signage media player,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,73,android digital signage,PF-001;PF-003,100,,REVIEW_RELEVANT,PENDING_REVIEW,,50,高,100,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""高"", ""Competition (indexed value)"": ""100""}"
android digital signage player,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,9,android digital signage,PF-001;PF-003,100,,REVIEW_RELEVANT,PENDING_REVIEW,,50,中,66,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""中"", ""Competition (indexed value)"": ""66"", ""Top of page bid (high range)"": ""87.71"", ""Top of page bid (low range)"": ""26.26""}"
android media player for digital signage,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,58,android digital signage,PF-001;PF-003,100,,REVIEW_RELEVANT,PENDING_REVIEW,,50,未知,,0%,-100%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""未知""}"
android signage,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,14,android digital signage,PF-001;PF-003,100,,REVIEW_RELEVANT,PENDING_REVIEW,,50,高,100,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""高"", ""Competition (indexed value)"": ""100""}"
basic digital menu board,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,106,digital menu board,PF-002;PF-003,100,,REVIEW_RELEVANT,PENDING_REVIEW,,50,未知,,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""未知""}"
best digital signage player,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,29,digital signage player,PF-002;PF-003,100,,REVIEW_RELEVANT,PENDING_REVIEW,,50,低,13,0%,-90%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""低"", ""Competition (indexed value)"": ""13"", ""Top of page bid (high range)"": ""149.06"", ""Top of page bid (low range)"": ""31.26""}"
best media player for digital signage,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,65,digital signage player,PF-002;PF-003,100,,REVIEW_RELEVANT,PENDING_REVIEW,,50,中,48,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""中"", ""Competition (indexed value)"": ""48"", ""Top of page bid (high range)"": ""165.64"", ""Top of page bid (low range)"": ""68.49""}"
cafe digital menu board,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,74,digital menu board,PF-002;PF-003,100,,REVIEW_RELEVANT,PENDING_REVIEW,,50,低,15,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""低"", ""Competition (indexed value)"": ""15""}"
cool digital menu boards,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,108,digital menu board,PF-002;PF-003,100,,REVIEW_RELEVANT,PENDING_REVIEW,,50,低,0,∞,∞,"{""Avg. monthly searches"": ""50"", ""Competition"": ""低"", ""Competition (indexed value)"": ""0""}"
digital food menu boards,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,110,digital menu board,PF-002;PF-003,100,,REVIEW_RELEVANT,PENDING_REVIEW,,50,高,90,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""高"", ""Competition (indexed value)"": ""90"", ""Top of page bid (high range)"": ""92.19"", ""Top of page bid (low range)"": ""38.83""}"
digital menu board cafe,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,111,digital menu board,PF-002;PF-003,100,,REVIEW_RELEVANT,PENDING_REVIEW,,50,低,15,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""低"", ""Competition (indexed value)"": ""15""}"
digital menu board cost,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,76,digital menu board,PF-002;PF-003,100,,REVIEW_RELEVANT,PENDING_REVIEW,,50,中,36,0%,-90%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""中"", ""Competition (indexed value)"": ""36"", ""Top of page bid (high range)"": ""35.85"", ""Top of page bid (low range)"": ""12.17""}"
digital menu board screens,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,87,digital menu board,PF-002;PF-003,100,,REVIEW_RELEVANT,PENDING_REVIEW,,50,高,100,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""高"", ""Competition (indexed value)"": ""100""}"
digital menu board solutions,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,105,digital menu board,PF-002;PF-003,100,,REVIEW_RELEVANT,PENDING_REVIEW,,50,中,64,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""中"", ""Competition (indexed value)"": ""64""}"
digital menu board system,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,89,digital menu board,PF-002;PF-003,100,,REVIEW_RELEVANT,PENDING_REVIEW,,50,低,19,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""低"", ""Competition (indexed value)"": ""19""}"
digital menu boards near me,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,42,digital menu board,PF-002;PF-003,100,,REVIEW_RELEVANT,PENDING_REVIEW,,50,高,80,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""高"", ""Competition (indexed value)"": ""80"", ""Top of page bid (high range)"": ""169.48"", ""Top of page bid (low range)"": ""32.58""}"
digital menu display board,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,46,digital menu board,PF-002;PF-003,100,,REVIEW_RELEVANT,PENDING_REVIEW,,50,高,77,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""高"", ""Competition (indexed value)"": ""77"", ""Top of page bid (high range)"": ""117.38"", ""Top of page bid (low range)"": ""25.44""}"
digital screen menu board,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,60,digital menu board,PF-002;PF-003,100,,REVIEW_RELEVANT,PENDING_REVIEW,,50,中,64,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""中"", ""Competition (indexed value)"": ""64""}"
digital signage android box,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,82,android digital signage,PF-001;PF-003,100,,REVIEW_RELEVANT,PENDING_REVIEW,,50,高,100,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""高"", ""Competition (indexed value)"": ""100""}"
digital signage android tv,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,17,android digital signage,PF-001;PF-003,100,,REVIEW_RELEVANT,PENDING_REVIEW,,50,高,76,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""高"", ""Competition (indexed value)"": ""76""}"
digital signage menu boards,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,22,digital menu board,PF-002;PF-003,100,,REVIEW_RELEVANT,PENDING_REVIEW,,50,低,0,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""低"", ""Competition (indexed value)"": ""0""}"
digital signage player box,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,96,digital signage player,PF-002;PF-003,100,,REVIEW_RELEVANT,PENDING_REVIEW,,50,低,25,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""低"", ""Competition (indexed value)"": ""25""}"
digital signage player for tv,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,12,digital signage player,PF-002;PF-003,100,,REVIEW_RELEVANT,PENDING_REVIEW,,50,高,96,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""高"", ""Competition (indexed value)"": ""96"", ""Top of page bid (high range)"": ""133.68"", ""Top of page bid (low range)"": ""21.78""}"
lcd digital menu boards,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,114,digital menu board,PF-002;PF-003,100,,REVIEW_RELEVANT,PENDING_REVIEW,,50,低,0,∞,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""低"", ""Competition (indexed value)"": ""0""}"
network digital signage player,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,98,digital signage player,PF-002;PF-003,100,,REVIEW_RELEVANT,PENDING_REVIEW,,50,低,21,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""低"", ""Competition (indexed value)"": ""21""}"
tablet signage,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,7,tablet signage,PF-003;PF-006,100,,REVIEW_RELEVANT,PENDING_REVIEW,,50,低,0,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""低"", ""Competition (indexed value)"": ""0""}"
the menu board,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,117,digital menu board,PF-002;PF-003,100,,REVIEW_RELEVANT,PENDING_REVIEW,,50,低,0,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""低"", ""Competition (indexed value)"": ""0""}"
wireless digital signage player,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,56,digital signage player,PF-002;PF-003,100,,REVIEW_RELEVANT,PENDING_REVIEW,,50,未知,,-100%,-100%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""未知""}"
digital signage web control,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,120,digital signage web control,PF-001,100,,REVIEW_RELEVANT,PENDING_REVIEW,,,未知,,--,--,"{""Competition"": ""未知""}"
kiosk display app,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,121,kiosk display app,PF-003;PF-006,100,,REVIEW_RELEVANT,PENDING_REVIEW,,,未知,,--,--,"{""Competition"": ""未知""}"
local network signage,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,119,local network signage,PF-001;PF-004,100,,REVIEW_RELEVANT,PENDING_REVIEW,,,未知,,--,--,"{""Competition"": ""未知""}"
media playlist player,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,123,media playlist player,PF-002,100,,REVIEW_RELEVANT,PENDING_REVIEW,,,未知,,--,--,"{""Competition"": ""未知""}"
multi device signage,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,122,multi device signage,PF-004;PF-005,100,,REVIEW_RELEVANT,PENDING_REVIEW,,,未知,,--,--,"{""Competition"": ""未知""}"
offline signage player,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,118,offline signage player,PF-001;PF-006,100,,REVIEW_RELEVANT,PENDING_REVIEW,,,未知,,--,--,"{""Competition"": ""未知""}"
electronic menu board,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,27,digital menu board,PF-002;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,5000,高,97,0%,0%,"{""Avg. monthly searches"": ""5000"", ""Competition"": ""高"", ""Competition (indexed value)"": ""97"", ""Top of page bid (high range)"": ""118.85"", ""Top of page bid (low range)"": ""23.90""}"
media player digital,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,97,digital signage player,PF-002;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,5000,中,37,0%,0%,"{""Avg. monthly searches"": ""5000"", ""Competition"": ""中"", ""Competition (indexed value)"": ""37"", ""Top of page bid (high range)"": ""8.83"", ""Top of page bid (low range)"": ""1.49""}"
digital menu display,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,33,digital menu board,PF-002;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,500,高,100,0%,0%,"{""Avg. monthly searches"": ""500"", ""Competition"": ""高"", ""Competition (indexed value)"": ""100"", ""Top of page bid (high range)"": ""144.81"", ""Top of page bid (low range)"": ""30.74""}"
digital menu display screens,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,40,digital menu board,PF-002;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,500,高,100,0%,0%,"{""Avg. monthly searches"": ""500"", ""Competition"": ""高"", ""Competition (indexed value)"": ""100"", ""Top of page bid (high range)"": ""99.48"", ""Top of page bid (low range)"": ""20.22""}"
digital menu for restaurants,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,28,digital menu board,PF-002;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,500,高,90,0%,0%,"{""Avg. monthly searches"": ""500"", ""Competition"": ""高"", ""Competition (indexed value)"": ""90"", ""Top of page bid (high range)"": ""150.24"", ""Top of page bid (low range)"": ""32.69""}"
digital menu screens,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,30,digital menu board,PF-002;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,500,高,100,0%,0%,"{""Avg. monthly searches"": ""500"", ""Competition"": ""高"", ""Competition (indexed value)"": ""100"", ""Top of page bid (high range)"": ""99.48"", ""Top of page bid (low range)"": ""20.22""}"
digital signage mediaplayer,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,70,android digital signage,PF-001;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,500,中,56,0%,0%,"{""Avg. monthly searches"": ""500"", ""Competition"": ""中"", ""Competition (indexed value)"": ""56"", ""Top of page bid (high range)"": ""141.56"", ""Top of page bid (low range)"": ""29.11""}"
digital signage on tv,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,18,android digital signage,PF-001;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,500,高,100,0%,0%,"{""Avg. monthly searches"": ""500"", ""Competition"": ""高"", ""Competition (indexed value)"": ""100"", ""Top of page bid (high range)"": ""142.30"", ""Top of page bid (low range)"": ""34.87""}"
digital signage restaurant,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,47,android digital signage,PF-001;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,500,高,76,0%,0%,"{""Avg. monthly searches"": ""500"", ""Competition"": ""高"", ""Competition (indexed value)"": ""76"", ""Top of page bid (high range)"": ""136.35"", ""Top of page bid (low range)"": ""39.58""}"
menu board signage,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,88,digital menu board,PF-002;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,500,高,100,0%,0%,"{""Avg. monthly searches"": ""500"", ""Competition"": ""高"", ""Competition (indexed value)"": ""100"", ""Top of page bid (high range)"": ""66.81"", ""Top of page bid (low range)"": ""10.11""}"
menu boards for restaurants,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,32,digital menu board,PF-002;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,500,高,100,0%,-90%,"{""Avg. monthly searches"": ""500"", ""Competition"": ""高"", ""Competition (indexed value)"": ""100"", ""Top of page bid (high range)"": ""95.85"", ""Top of page bid (low range)"": ""15.44""}"
menu digital display,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,44,digital menu board,PF-002;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,500,高,100,0%,0%,"{""Avg. monthly searches"": ""500"", ""Competition"": ""高"", ""Competition (indexed value)"": ""100"", ""Top of page bid (high range)"": ""144.81"", ""Top of page bid (low range)"": ""30.74""}"
menu display board,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,35,digital menu board,PF-002;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,500,高,100,0%,0%,"{""Avg. monthly searches"": ""500"", ""Competition"": ""高"", ""Competition (indexed value)"": ""100"", ""Top of page bid (high range)"": ""91.94"", ""Top of page bid (low range)"": ""12.27""}"
signage menu board,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,91,digital menu board,PF-002;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,500,高,100,0%,0%,"{""Avg. monthly searches"": ""500"", ""Competition"": ""高"", ""Competition (indexed value)"": ""100"", ""Top of page bid (high range)"": ""66.81"", ""Top of page bid (low range)"": ""10.11""}"
android digital display,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,19,android digital signage,PF-001;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,50,中,45,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""中"", ""Competition (indexed value)"": ""45""}"
android digital media player,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,103,android digital signage,PF-001;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,50,中,37,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""中"", ""Competition (indexed value)"": ""37""}"
android signage app,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,69,android digital signage,PF-001;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,50,高,71,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""高"", ""Competition (indexed value)"": ""71""}"
android signage display,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,20,android digital signage,PF-001;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,50,低,0,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""低"", ""Competition (indexed value)"": ""0""}"
android signage player,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,10,android digital signage,PF-001;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,50,中,48,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""中"", ""Competition (indexed value)"": ""48"", ""Top of page bid (high range)"": ""204.38"", ""Top of page bid (low range)"": ""47.61""}"
best digital signage,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,21,android digital signage,PF-001;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,50,高,82,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""高"", ""Competition (indexed value)"": ""82"", ""Top of page bid (high range)"": ""224.24"", ""Top of page bid (low range)"": ""38.26""}"
best digital signage displays,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,67,android digital signage,PF-001;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,50,中,52,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""中"", ""Competition (indexed value)"": ""52"", ""Top of page bid (high range)"": ""80.79"", ""Top of page bid (low range)"": ""22.39""}"
best digital signage screens,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,79,android digital signage,PF-001;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,50,低,0,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""低"", ""Competition (indexed value)"": ""0""}"
